"movieId","title","imdbId","runtime","imdbRating","revenue","released","budget","genre"
"32898","Trip to the Moon, A (Voyage dans la lune, Le)","0000417","13","8.2","","1902-10-04","5985","Adventure"
"32898","Trip to the Moon, A (Voyage dans la lune, Le)","0000417","13","8.2","","1902-10-04","5985","Sci-Fi"
"32898","Trip to the Moon, A (Voyage dans la lune, Le)","0000417","13","8.2","","1902-10-04","5985","Fantasy"
"32898","Trip to the Moon, A (Voyage dans la lune, Le)","0000417","13","8.2","","1902-10-04","5985","Action"
"7065","Birth of a Nation, The","0004972","165","6.8","11000000","1915-03-03","100000","Drama"
"7065","Birth of a Nation, The","0004972","165","6.8","11000000","1915-03-03","100000","War"
"62383","20,000 Leagues Under the Sea","0006333","105","7.1","8000000","1916-12-24","200000","Action"
"62383","20,000 Leagues Under the Sea","0006333","105","7.1","8000000","1916-12-24","200000","Adventure"
"62383","20,000 Leagues Under the Sea","0006333","105","7.1","8000000","1916-12-24","200000","Sci-Fi"
"7243","Intolerance: Love's Struggle Throughout the Ages","0006864","197","8.0","4000000","1916-09-05","8394751","Drama"
"8511","Immigrant, The","0008133","30","7.8","","1917-06-17","","Comedy"
"3309","Dog's Life, A","0009018","33","7.8","","1918-04-14","","Comedy"
"72626","Billy Blazes, Esq.","0009932","12","6.1","","1919-07-06","","Western"
"72626","Billy Blazes, Esq.","0009932","12","6.1","","1919-07-06","","Comedy"
"6987","Cabinet of Dr. Caligari, The (Cabinet des Dr. Caligari., Das)","0010323","67","8.1","","1921-03-19","18000","Horror"
"6987","Cabinet of Dr. Caligari, The (Cabinet des Dr. Caligari., Das)","0010323","67","8.1","","1921-03-19","18000","Fantasy"
"6987","Cabinet of Dr. Caligari, The (Cabinet des Dr. Caligari., Das)","0010323","67","8.1","","1921-03-19","18000","Crime"
"25737","Golem, The (Golem, wie er in die Welt kam, Der)","0011237","91","7.2","","1921-06-19","","Fantasy"
"25737","Golem, The (Golem, wie er in die Welt kam, Der)","0011237","91","7.2","","1921-06-19","","Horror"
"59945","Mark of Zorro, The","0011439","107","7.3","","1920-12-05","","Western"
"59945","Mark of Zorro, The","0011439","107","7.3","","1920-12-05","","Adventure"
"59945","Mark of Zorro, The","0011439","107","7.3","","1920-12-05","","Romance"
"83322","Boat, The","0011984","23","7.2","","1921-11-10","","Comedy"
"83318","Goat, The","0012224","23","7.8","","1921-05-15","","Comedy"
"83096","Haunted House, The","0012255","21","7.0","","1921-02-21","","Comedy"
"3310","Kid, The","0012349","68","8.4","2500000","1921-02-06","250000","Comedy"
"3310","Kid, The","0012349","68","8.4","2500000","1921-02-06","250000","Drama"
"83361","Paleface, The","0012543","20","7.0","","1922-01-01","","Comedy"
"83359","Play House, The","0012570","18","7.8","","1921-10-06","","Comedy"
"83411","Cops","0013025","18","7.8","","1922-03-01","","Comedy"
"4768","Dr. Mabuse: The Gambler (Dr. Mabuse, der Spieler)","0013086","242","7.9","","1923-05-01","","Thriller"
"4768","Dr. Mabuse: The Gambler (Dr. Mabuse, der Spieler)","0013086","242","7.9","","1923-05-01","","Mystery"
"4768","Dr. Mabuse: The Gambler (Dr. Mabuse, der Spieler)","0013086","242","7.9","","1923-05-01","","Crime"
"25744","Haxan: Witchcraft Through the Ages (a.k.a. The Witches)","0013257","91","7.7","","1929-05-27","","Documentary"
"25744","Haxan: Witchcraft Through the Ages (a.k.a. The Witches)","0013257","91","7.7","","1929-05-27","","Horror"
"44587","Nanook of the North","0013427","79","7.8","","1922-06-11","53000","Drama"
"44587","Nanook of the North","0013427","79","7.8","","1922-06-11","53000","Documentary"
"1348","Nosferatu (Nosferatu, eine Symphonie des Grauens)","0013442","81","8.0","","1929-06-03","","Horror"
"8609","Our Hospitality","0014341","65","7.9","","1923-11-19","","Comedy"
"8235","Safety Last!","0014429","70","8.3","623","1923-04-01","","Comedy"
"8235","Safety Last!","0014429","70","8.3","623","1923-04-01","","Romance"
"8235","Safety Last!","0014429","70","8.3","623","1923-04-01","","Action"
"3140","Three Ages","0014538","63","7.2","","1923-09-24","","Comedy"
"4405","Last Laugh, The (Letzte Mann, Der)","0015064","90","8.1","","1925-01-05","","Drama"
"7074","Navigator, The","0015163","59","8.1","","1924-10-13","","Comedy"
"25750","Sherlock Jr.","0015324","45","8.3","","1924-04-21","","Comedy"
"25750","Sherlock Jr.","0015324","45","8.3","","1924-04-21","","Romance"
"25750","Sherlock Jr.","0015324","45","8.3","","1924-04-21","","Fantasy"
"7302","Thief of Bagdad, The","0015400","155","7.9","1213880","1924-03-23","1135654","Fantasy"
"7302","Thief of Bagdad, The","0015400","155","7.9","1213880","1924-03-23","1135654","Action"
"7302","Thief of Bagdad, The","0015400","155","7.9","1213880","1924-03-23","1135654","Adventure"
"3742","Battleship Potemkin","0015648","66","8.0","45100","1925-12-24","","Drama"
"3742","Battleship Potemkin","0015648","66","8.0","45100","1925-12-24","","War"
"25752","Freshman, The","0015841","76","7.6","","1925-09-20","","Comedy"
"3133","Go West","0015863","68","7.3","","1925-11-01","","Western"
"3133","Go West","0015863","68","7.3","","1925-11-01","","Comedy"
"3629","Gold Rush, The","0015864","95","8.3","2500000","","923000","Comedy"
"3629","Gold Rush, The","0015864","95","8.3","2500000","","923000","Adventure"
"3629","Gold Rush, The","0015864","95","8.3","2500000","","923000","Romance"
"25753","Greed","0015881","140","7.9","","1925-01-26","546883","Drama"
"91286","Little Colonel, The","0016029","81","7.1","","1935-02-22","","Crime"
"91286","Little Colonel, The","0016029","81","7.1","","1935-02-22","","Children"
"91286","Little Colonel, The","0016029","81","7.1","","1935-02-22","","Comedy"
"91286","Little Colonel, The","0016029","81","7.1","","1935-02-22","","Drama"
"4277","Lost World, The","0016039","106","7.1","","1925-06-22","","Adventure"
"4277","Lost World, The","0016039","106","7.1","","1925-06-22","","Sci-Fi"
"25755","Phantom of the Opera, The","0016220","93","7.7","","1925-11-15","","Drama"
"25755","Phantom of the Opera, The","0016220","93","7.7","","1925-11-15","","Horror"
"3232","Seven Chances","0016332","56","8.0","","1925-03-11","","Comedy"
"6986","Ben-Hur: A Tale of the Christ","0016641","143","8.1","9000000","1927-10-08","3900000","Romance"
"6986","Ben-Hur: A Tale of the Christ","0016641","143","8.1","9000000","1927-10-08","3900000","Drama"
"6986","Ben-Hur: A Tale of the Christ","0016641","143","8.1","9000000","1927-10-08","3900000","Adventure"
"7309","Black Pirate, The","0016654","88","7.2","","1926-03-08","","Adventure"
"7309","Black Pirate, The","0016654","88","7.2","","1926-03-08","","Action"
"4404","Faust","0016847","85","8.1","","1926-12-06","","Horror"
"4404","Faust","0016847","85","8.1","","1926-12-06","","Fantasy"
"4404","Faust","0016847","85","8.1","","1926-12-06","","Drama"
"121618","The Great Gatsby","0016938","80","","","1926-08-27","","Drama"
"2227","Lodger: A Story of the London Fog, The","0017075","68","7.3","","1927-02-14","","Drama"
"2227","Lodger: A Story of the London Fog, The","0017075","68","7.3","","1927-02-14","","Thriller"
"2227","Lodger: A Story of the London Fog, The","0017075","68","7.3","","1927-02-14","","Crime"
"2010","Metropolis","0017136","153","8.3","650422","1927-03-13","1300000","Drama"
"2010","Metropolis","0017136","153","8.3","650422","1927-03-13","1300000","Sci-Fi"
"957","Scarlet Letter, The","0017350","115","7.8","","1927-01-08","","Drama"
"3492","Son of the Sheik, The","0017416","68","7.5","","1926-09-05","","Romance"
"3492","Son of the Sheik, The","0017416","68","7.5","","1926-09-05","","Comedy"
"3492","Son of the Sheik, The","0017416","68","7.5","","1926-09-05","","Adventure"
"7914","Berlin: Symphony of a Great City (Berlin: Die Sinfonie der Großstadt)","0017668","65","7.8","","1928-05-13","","Documentary"
"8275","College","0017765","66","7.2","","1927-11-01","","Comedy"
"3022","General, The","0017925","67","8.3","","1927-02-24","750000","War"
"3022","General, The","0017925","67","8.3","","1927-02-24","750000","Comedy"
"8423","Kid Brother, The","0018051","82","7.6","","1927-01-17","","Comedy"
"8423","Kid Brother, The","0018051","82","7.6","","1927-01-17","","Romance"
"8423","Kid Brother, The","0018051","82","7.6","","1927-01-17","","Children"
"58649","Napoléon","0018192","240","7.4","39448","1929-02-17","","War"
"58649","Napoléon","0018192","240","7.4","39448","1929-02-17","","Drama"
"8125","Sunrise: A Song of Two Humans","0018455","94","8.4","","1927-11-04","","Romance"
"8125","Sunrise: A Song of Two Humans","0018455","94","8.4","","1927-11-04","","Drama"
"1925","Wings","0018578","144","7.8","","1929-01-05","2000000","Romance"
"1925","Wings","0018578","144","7.8","","1929-01-05","2000000","Drama"
"1925","Wings","0018578","144","7.8","","1929-01-05","2000000","Action"
"1925","Wings","0018578","144","7.8","","1929-01-05","2000000","War"
"25763","Pandora's Box (Büchse der Pandora, Die)","0018737","109","8.0","","1930-02-22","","Drama"
"25764","Cameraman, The","0018742","69","8.3","","1928-09-22","","Drama"
"25764","Cameraman, The","0018742","69","8.3","","1928-09-22","","Comedy"
"25764","Cameraman, The","0018742","69","8.3","","1928-09-22","","Romance"
"3306","Circus, The","0018773","71","8.2","","","9000000","Comedy"
"6985","Passion of Joan of Arc, The (Passion de Jeanne d'Arc, La)","0019254","114","8.4","","1928-10-25","","Drama"
"25769","Steamboat Bill, Jr.","0019421","70","8.0","","1928-05-20","","Romance"
"25769","Steamboat Bill, Jr.","0019421","70","8.0","","1928-05-20","","Comedy"
"2102","Steamboat Willie","0019422","8","7.7","","1930-08-11","4986","Comedy"
"2102","Steamboat Willie","0019422","8","7.7","","1930-08-11","4986","Animation"
"2102","Steamboat Willie","0019422","8","7.7","","1930-08-11","4986","Children"
"2102","Steamboat Willie","0019422","8","7.7","","1930-08-11","4986","Musical"
"2221","Blackmail","0019702","85","7.0","","1929-10-06","","Drama"
"2221","Blackmail","0019702","85","7.0","","1929-10-06","","Thriller"
"1926","Broadway Melody, The","0019729","100","6.4","4358000","1929-06-06","379000","Musical"
"6433","Man with the Movie Camera, The (Chelovek s kino-apparatom)","0019760","68","8.4","","1929-05-12","","Documentary"
"33312","Cocoanuts, The","0019777","96","7.2","1800000","1929-08-03","500000","Comedy"
"33312","Cocoanuts, The","0019777","96","7.2","1800000","1929-08-03","500000","Musical"
"59846","Iron Mask, The","0020030","95","7.7","","1929-02-21","","Drama"
"59846","Iron Mask, The","0020030","95","7.7","","1929-02-21","","Romance"
"59846","Iron Mask, The","0020030","95","7.7","","1929-02-21","","Adventure"
"25771","Andalusian Dog, An (Chien andalou, Un)","0020530","16","7.9","","1929-06-06","","Fantasy"
